DATABASE	NAME	EC NUMBER(S)	KEGG ID(S)	DELTAG (kcal/mol)	DELTAG ERROR (kcal/mol)	EQUATION	NAME EQ	THERMODYNAMIC FEASIBILTY
rxn03960	2-(2-(S)-Hydroxypropylthio)ethanesulfonate dehydrogenase	|1.1.1.269|	R05690	3.76	1.07969	cpd00003_c0 + cpd08337_c0 <=> cpd00004_c0 + cpd00067_c0 + cpd08336_c0	NAD + (S)-2-Hydroxypropyl-CoM <=> NADH + H+ + 2-Oxopropyl-CoM	<=>
rxn03959	2-(2-(R)-Hydroxypropylthio)ethanesulfonate dehydrogenase	|1.1.1.268|	R05689	3.76	1.07969	cpd00003_c0 + cpd08335_c0 <=> cpd00004_c0 + cpd00067_c0 + cpd08336_c0	NAD + (R)-2-Hydroxypropyl-CoM <=> NADH + H+ + 2-Oxopropyl-CoM	<=>
rxn03958	1-Deoxy-D-xylulose-5-phosphate isomeroreductase	|1.1.1.267|	R05688	5.18	1.1235	cpd00006_c0 + cpd08286_c0 <=> cpd00005_c0 + cpd00067_c0 + cpd08289_c0	TPN + 2-C-methyl-D-erythritol4-phosphate <=> TPNH + H+ + 1-deoxy-D-xylulose5-phosphate	<=>
rxn03957	dTDP-4-keto-6-Deoxyglucose reductase	|1.1.1.266|	R05687	2.3	1.11438	cpd00006_c0 + cpd04496_c0 <=> cpd00005_c0 + cpd00067_c0 + cpd00521_c0	TPN + dTDP-D-fucose <=> TPNH + H+ + dTDP-4-oxo-6-deoxy-D-glucose	<=>
rxn03956	3-Methylbutanol:NADP oxidoreductase	|1.1.1.265|	R05686	5.22	1.06983	cpd00006_c0 + cpd04533_c0 <=> cpd00005_c0 + cpd00067_c0 + cpd04534_c0	TPN + 3-Methylbutanol <=> TPNH + H+ + 3-Methylbutanal	<=>
rxn03955	3-Methylbutanol:NAD(P) oxidoreductase	|1.1.1.265|	R05685	5.22	1.06983	cpd00003_c0 + cpd04533_c0 <=> cpd00004_c0 + cpd00067_c0 + cpd04534_c0	NAD + 3-Methylbutanol <=> NADH + H+ + 3-Methylbutanal	<=>
rxn03954	L-Idonate:NADP oxidoreductase	|1.1.1.128|1.1.1.264|	R05684	3.76	1.07969	cpd00006_c0 + cpd00573_c0 <=> cpd00005_c0 + cpd00067_c0 + cpd00781_c0	TPN + L-Idonate <=> TPNH + H+ + 5-Dehydrogluconate	<=>
rxn03953	L-Idonate:NAD oxidoreductase	|1.1.1.264|	R05683	3.76	1.07969	cpd00003_c0 + cpd00573_c0 <=> cpd00004_c0 + cpd00067_c0 + cpd00781_c0	NAD + L-Idonate <=> NADH + H+ + 5-Dehydrogluconate	<=>
rxn03952	1,5-Anhydro-D-glucitol:NADP oxidoreductase	|1.1.1.263|	R05682	2.3	1.11438	cpd00006_c0 + cpd04531_c0 <=> cpd00005_c0 + cpd00067_c0 + cpd03896_c0	TPN + 1,5-Anhydroglucitol <=> TPNH + H+ + 1,5-Anhydro-D-fructose	<=>
rxn03951	NAD-dependent threonine 4-phosphate dehydrogenase	|1.1.1.262|	R05681	3.76	1.07969	cpd00003_c0 + cpd03607_c0 <=> cpd00004_c0 + cpd00067_c0 + cpd04539_c0	NAD + 4-(Phosphonooxy)-threonine <=> NADH + H+ + 2-Amino-3-oxo-4-phosphonooxybutyrate	<=>
rxn03947	rxn03947		R05677	-2.003	0.984391	cpd00001_c0 + cpd04330_c0 <=> cpd00029_c0 + cpd01132_c0	H2O + N-Acetylpuromycin <=> ACET + Puromycin	<=>
rxn03948	Sulcatol:NAD+ oxidoreductase	|1.1.1.260|	R05678	3.76	1.07969	cpd00003_c0 + cpd04502_c0 <=> cpd00004_c0 + cpd00067_c0 + cpd04501_c0	NAD + Sulcatol <=> NADH + H+ + Sulcatone	<=>
rxn03946	rxn03946	|2.1.1.38|	R05676	-4.36	2.22091	cpd00017_c0 + cpd04329_c0 <=> cpd00019_c0 + cpd00067_c0 + cpd04330_c0	SAM + N-Acetyl-O-demethylpuromycin <=> S-Adenosylhomocysteine + H+ + N-Acetylpuromycin	<=>
rxn03945	rxn03945		R05675	212.5	0.202872	cpd04328_c0 <=> cpd04329_c0	N-Acetyl-O-demethylpuromycin-5'-phosphate <=> N-Acetyl-O-demethylpuromycin	<=
rxn03944	rxn03944		R05674	-8.76	2.51295	cpd00017_c0 + cpd04327_c0 <=> cpd00019_c0 + cpd00067_c0 + cpd04328_c0	SAM + N-Acetyl-N6,O-didemethylpuromycin-5'-phosphate <=> S-Adenosylhomocysteine + H+ + N-Acetyl-O-demethylpuromycin-5'-phosphate	<=>
rxn03943	rxn03943		R05673	-14.2	2.26382	cpd00017_c0 + cpd04326_c0 <=> cpd00019_c0 + cpd00067_c0 + cpd04327_c0	SAM + N-Acetyl-N6,N6,O-tridemethylpuromycin-5'-phosphate <=> S-Adenosylhomocysteine + H+ + N-Acetyl-N6,O-didemethylpuromycin-5'-phosphate	=>
rxn03942	rxn03942		R05672	-5.294	1.25997	cpd00022_c0 + cpd04325_c0 <=> cpd00010_c0 + cpd00067_c0 + cpd04326_c0	Acetyl-CoA + N6,N6,O-Trimethylpuromycin-5'-phosphate <=> CoA + H+ + N-Acetyl-N6,N6,O-tridemethylpuromycin-5'-phosphate	=>
rxn03941	rxn03941			0.463	0.848213	cpd00069_c0 + cpd04324_c0 <=> cpd00001_c0 + cpd04325_c0	Tyrosine + 3'-Amino-3'-deoxy-AMP <=> H2O + N6,N6,O-Trimethylpuromycin-5'-phosphate	<=>
rxn03940	rxn03940		R05670	28.69	0.412718	cpd04323_c0 <=> cpd04324_c0	3'-Keto-3'-deoxy-AMP <=> 3'-Amino-3'-deoxy-AMP	<=
rxn03939	rxn03939			-8.243	0.748021	cpd00001_c0 + cpd04322_c0 <=> cpd00012_c0 + cpd04323_c0	H2O + 3'-Keto-3'-deoxy-ATP <=> PPi + 3'-Keto-3'-deoxy-AMP	=>
rxn03937	rxn03937		R05666	-43.16	0.939273	cpd01034_c0 <=> cpd01042_c0	Toluol <=> 4-Cresol	=>
rxn03938	rxn03938		R05668	2.3	1.11438	cpd00002_c0 + cpd00003_c0 <=> cpd00004_c0 + cpd00067_c0 + cpd04322_c0	ATP + NAD <=> NADH + H+ + 3'-Keto-3'-deoxy-ATP	<=>
rxn03936	benzoate 1,2-dioxygenase	|1.14.12.-|1.14.12.10|	R05665	-70.4597	1.99926	cpd00004_c0 + cpd00007_c0 + cpd00067_c0 + cpd04449_c0 <=> cpd00003_c0 + cpd04108_c0	NADH + O2 + H+ + m-toluate <=> NAD + 1,6-Dihydroxy-5-methylcyclohexa-2,4-dienecarboxylate	=>
rxn03935	rxn03935	|1.2.1.7|	R05664	-9.803	1.17612	cpd00001_c0 + cpd00006_c0 + cpd04447_c0 <=> cpd00005_c0 + (2) cpd00067_c0 + cpd04449_c0	H2O + TPN + m-Tolualdehyde <=> TPNH + 2 H+ + m-toluate	=>
rxn03934	rxn03934	|1.2.1.7|	R05663	-9.803	1.17612	cpd00001_c0 + cpd00006_c0 + cpd04452_c0 <=> cpd00005_c0 + (2) cpd00067_c0 + cpd04453_c0	H2O + TPN + o-Tolualdehyde <=> TPNH + 2 H+ + o-Toluate	=>
rxn03933	UDP-N-acetylglucosamine-N-acetylmuramyl-(pentapeptide)pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	|2.4.1.227|	R05662	-1.7	0.632032	cpd00037_c0 + cpd02948_c0 <=> cpd00014_c0 + cpd03491_c0	UDP-N-acetylglucosamine + MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho- undecaprenol <=> UDP + Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	<=>
rxn03932	ATP:5-dehydro-2-deoxy-D-gluconate 6-phosphotransferase	|2.7.1.92|	R05661	-4.5	0.23673	cpd00002_c0 + cpd04242_c0 <=> cpd00008_c0 + cpd02721_c0	ATP + DKH <=> ADP + DKHP	<=>
rxn03931	rxn03931			-10.903	1.129	cpd00001_c0 + cpd02631_c0 <=> cpd00067_c0 + cpd04242_c0	H2O + DKDI <=> H+ + DKH	=>
rxn03928	rxn03928		R05656	-28.449	3.37638	cpd08283_c0 <=> cpd08284_c0	Phenanthrene-1,2-oxide <=> 1-Phenanthrol	=>
rxn03929	rxn03929	|3.3.2.-|	R05658	0.367	2.48489	cpd00001_c0 + cpd08281_c0 <=> cpd08280_c0	H2O + Phenanthrene-9,10-oxide <=> trans-9(S),10(S)-Dihydrodiolphenanthrene	<=>
rxn03927	rxn03927	|1.14.13.-|	R05655	-99.5067	1.57362	cpd00004_c0 + cpd00007_c0 + cpd00067_c0 + cpd08276_c0 <=> cpd00001_c0 + cpd00003_c0 + cpd08284_c0	NADH + O2 + H+ + Phenanthrene <=> H2O + NAD + 1-Phenanthrol	=>
rxn03926	phenanthrene 1,2-monooxygenase	|1.14.13.-|	R05654	-71.0577	3.75672	cpd00004_c0 + cpd00007_c0 + cpd00067_c0 + cpd08276_c0 <=> cpd00001_c0 + cpd00003_c0 + cpd08283_c0	NADH + O2 + H+ + Phenanthrene <=> H2O + NAD + Phenanthrene-1,2-oxide	=>
rxn03925	phenanthrene 9,10-monooxygenase	|1.14.13.-|	R05653	-59.7087	5.26706	cpd00004_c0 + cpd00007_c0 + cpd00067_c0 + cpd08276_c0 <=> cpd00001_c0 + cpd00003_c0 + cpd08281_c0	NADH + O2 + H+ + Phenanthrene <=> H2O + NAD + Phenanthrene-9,10-oxide	=>
rxn03924	taurine:pyruvate aminotransferase	|2.6.1.77|	R05652	-1	0.351998	cpd00020_c0 + cpd00210_c0 <=> cpd00035_c0 + cpd00460_c0	Pyruvate + Taurine <=> ALA + Sulfoacetaldehyde	<=>
rxn03923	acetyl-phosphate:sulfite S-acetyltransferase (acyl-phosphate	|2.3.3.15|	R05651	-3.7635	1.07112	cpd00009_c0 + cpd00067_c0 + cpd00460_c0 <=> cpd00081_c0 + cpd00196_c0	Phosphate + H+ + Sulfoacetaldehyde <=> HSO3- + Acetylphosphate	<=>
rxn03922	rxn03922	|1.13.11.-|	R05650	-82.5507	2.67784	cpd00007_c0 + cpd02022_c0 <=> cpd00067_c0 + cpd08277_c0	O2 + Phenanthrene-3,4-diol <=> H+ + 2-Hydroxy-2H-benzo[h]chromene-2-carboxylate	=>
rxn03920	rxn03920	|4.1.2.-|	R05648	1.857	0.835819	cpd00001_c0 + cpd08278_c0 <=> cpd00020_c0 + cpd08279_c0	H2O + cis-4-(1'-Hydroxynaphth-2'-yl)-2-oxobut-3-enoate <=> Pyruvate + 1-Hydroxy-2-naphthaldehyde	<=>
rxn03921	rxn03921	|1.2.1.-|	R05649	-9.803	1.17612	cpd00001_c0 + cpd00003_c0 + cpd08279_c0 <=> cpd00004_c0 + (2) cpd00067_c0 + cpd02045_c0	H2O + NAD + 1-Hydroxy-2-naphthaldehyde <=> NADH + 2 H+ + 1-Hydroxy-2-naphthoate	=>
rxn03919	D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase	|3.1.-.-|	R05647	-2.317	0.735634	cpd00001_c0 + cpd08316_c0 <=> cpd00009_c0 + cpd00067_c0 + cpd04920_c0	H2O + D-Glycero-D-manno-heptose1-7-bisphosphate <=> Phosphate + H+ + D-Glycero-D-manno-heptose1-phosphate	=>
rxn03918	D-glycero-D-manno-heptose 7-phosphate kinase	|2.7.-.-|2.7.1.-|	R05646	-4.5	0.23673	cpd00002_c0 + cpd04918_c0 <=> cpd00008_c0 + cpd08316_c0	ATP + D-Glycero-D-manno-heptose7-phosphate <=> ADP + D-Glycero-D-manno-heptose1-7-bisphosphate	<=>
rxn03917	sedoheptulose 7-phosphate isomerase	|5.-.-.-|	R05645	-0.86	1.49358	cpd00238_c0 <=> cpd04918_c0	Sedoheptulose7-phosphate <=> D-Glycero-D-manno-heptose7-phosphate	<=>
rxn03916	D-glycero-D-manno-hepose 1-phosphate adenyltransferase	|2.7.-.-|2.7.7.-|	R05644	1.07	0.746895	cpd00002_c0 + cpd04920_c0 <=> cpd00012_c0 + cpd03830_c0	ATP + D-Glycero-D-manno-heptose1-phosphate <=> PPi + ADP-D-glycero-D-manno-heptose	<=>
rxn03915	2-carboxybenzaldehyde dehydrogenase	|1.2.1.-|	R05643	-9.803	1.17612	cpd00001_c0 + cpd00003_c0 + cpd01956_c0 <=> cpd00004_c0 + (2) cpd00067_c0 + cpd01129_c0	H2O + NAD + Phthalaldehydic acid <=> NADH + 2 H+ + Phthalate	=>
rxn03914	rxn03914	|5.1.2.-|	R05642	10.98	1.88595	cpd08277_c0 <=> cpd08278_c0	2-Hydroxy-2H-benzo[h]chromene-2-carboxylate <=> cis-4-(1'-Hydroxynaphth-2'-yl)-2-oxobut-3-enoate	<=
rxn03913	ergosterol:NADP+ D24(241)-oxidoreductase	|1.3.1.71|	R05641	12.06	1.24799	cpd00006_c0 + cpd01170_c0 <=> cpd00005_c0 + cpd00067_c0 + cpd03223_c0	TPN + Ergosterol <=> TPNH + H+ + 5,7,22,24(28)-Ergostatetraenol	<=>
rxn03912	Lanosterol,NADPH:oxygen oxidoreductase (14-methyl cleaving)	|1.14.13.70|	R05640	-294.457	5.24754	(3) cpd00005_c0 + (3) cpd00007_c0 + (2) cpd00067_c0 + cpd01188_c0 <=> (4) cpd00001_c0 + (3) cpd00006_c0 + cpd00047_c0 + cpd08302_c0	3 TPNH + 3 O2 + 2 H+ + Lanosterol <=> 4 H2O + 3 TPN + FORM + 4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol	=>
rxn03911	4,4-dimethyl-5a-cholesta-8,24-dien-3b-ol:NADP+ D14-oxidoreductase	|1.3.1.70|	R05639	10.3	1.58855	cpd00006_c0 + cpd03038_c0 <=> cpd00005_c0 + cpd00067_c0 + cpd08302_c0	TPN + 14-Demethyllanosterol <=> TPNH + H+ + 4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol	<=>
rxn03910	2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol	|4.6.1.12|	R05637	26.77	2.2556	cpd08288_c0 <=> cpd00046_c0 + cpd08301_c0	2-phospho-4--cytidine5-diphospho-2-C-methyl-D-erythritol <=> CMP + 2-C-methyl-D-erythritol2-4-cyclodiphosphate	<=>
rxn03909	1-Deoxy-D-xylulose-5-phosphate pyruvate-lyase (carboxylating)	|2.2.1.7|	R05636	-8.11	0.601657	cpd00020_c0 + cpd00067_c0 + cpd00102_c0 <=> cpd00011_c0 + cpd08289_c0	Pyruvate + H+ + Glyceraldehyde3-phosphate <=> CO2 + 1-deoxy-D-xylulose5-phosphate	=>
rxn03908	ATP: 4-(Cytidine 5'-diphospho)-2-C-methyl-D-erythritol	|2.7.1.148|	R05634	-4.5	0.23673	cpd00002_c0 + cpd08287_c0 <=> cpd00008_c0 + cpd08288_c0	ATP + 4--cytidine5-diphospho-2-C-methyl-D-erythritol <=> ADP + 2-phospho-4--cytidine5-diphospho-2-C-methyl-D-erythritol	<=>
rxn03907	CTP: 2-C-Methyl-D-erythritol 4-phosphate cytidylyltransferase	|2.7.7.60|	R05633	1.07	0.746895	cpd00052_c0 + cpd08286_c0 <=> cpd00012_c0 + cpd08287_c0	CTP + 2-C-methyl-D-erythritol4-phosphate <=> PPi + 4--cytidine5-diphospho-2-C-methyl-D-erythritol	<=>
rxn03906	rxn03906	|1.14.13.1|	R05632	-95.9267	1.38919	cpd00004_c0 + cpd00007_c0 + (2) cpd00067_c0 + cpd02045_c0 <=> cpd00001_c0 + cpd00003_c0 + cpd00011_c0 + cpd01932_c0	NADH + O2 + 2 H+ + 1-Hydroxy-2-naphthoate <=> H2O + NAD + CO2 + 1,2-Naphthalenediol	=>
rxn03905	UDP-N-Acetyl-D-galactosamine:D-galactosyl-1,4-D-galactosyl-1,4--D-	|2.4.1.79|	R05631	-1.7	0.632032	cpd00175_c0 + cpd02885_c0 <=> cpd00014_c0 + cpd02088_c0	UDP-N-acetyl-D-galactosamine + Trihexosylceramide <=> UDP + Globoside	<=>
rxn03904	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala):undecaprenyl-	2.7.8.13	R05630	0	2	cpd00286_c0 + cpd02968_c0 <=> cpd00091_c0 + cpd03494_c0	Undecaprenylphosphate + UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl- D-alanine <=> UMP + Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	<=>
rxn03903	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala):undecaprenyl-	|2.7.8.13|	R05629	0	2	cpd00286_c0 + cpd02862_c0 <=> cpd00091_c0 + cpd02948_c0	Undecaprenylphosphate + UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala) <=> UMP + MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho- undecaprenol	<=>
rxn03902	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala):undecaprenyl-	|2.7.8.13|		0	2	cpd00286_c0 + cpd02943_c0 <=> cpd00091_c0 + cpd03486_c0	Undecaprenylphosphate + UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysyl-D-alanyl-D-alanine <=> UMP + N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysyl-D-alanyl-D-alanine-diphosphoundecaprenol	<=>
rxn03900	ATP:undecaprenol phosphotransferase	|2.7.1.66|	R05626	-4.5	0.23673	cpd00002_c0 + cpd01352_c0 <=> cpd00008_c0 + cpd00286_c0	ATP + Undecaprenol <=> ADP + Undecaprenylphosphate	<=>
rxn03901	Undecaprenyl-diphosphate phosphohydrolase	3.6.1.27	R05627	-6.817	0.717554	cpd00001_c0 + cpd02229_c0 <=> cpd00009_c0 + cpd00067_c0 + cpd00286_c0	H2O + Undecaprenyldiphosphate <=> Phosphate + H+ + Undecaprenylphosphate	=>
rxn03899	rxn03899	|1.14.13.-|	R05623	10000000	10000000	cpd00004_c0 + cpd00007_c0 + cpd00441_c0 <=> cpd00001_c0 + cpd00003_c0 + cpd00811_c0	NADH + O2 + (CH3)3N <=> H2O + NAD + (CH3)3NO	<=>
rxn03898	rxn03898	|1.14.12.10|	R05622	-71.6797	2.12749	cpd00005_c0 + cpd00007_c0 + cpd00067_c0 + cpd00153_c0 <=> cpd00006_c0 + cpd03762_c0	TPNH + O2 + H+ + Benzoate <=> TPN + cis-1,2-dihydroxybenzoate	=>
rxn03897	benzoate 1,2-dioxygenase	|1.14.12.10|	R05621	-71.6797	2.12749	cpd00004_c0 + cpd00007_c0 + cpd00067_c0 + cpd00153_c0 <=> cpd00003_c0 + cpd03762_c0	NADH + O2 + H+ + Benzoate <=> NAD + cis-1,2-dihydroxybenzoate	=>
rxn03896	rxn03896	|6.2.1.-|	R05620	-2.486	1.23168	cpd00002_c0 + cpd00010_c0 + cpd00067_c0 + cpd06714_c0 <=> cpd00012_c0 + cpd00018_c0 + cpd06715_c0	ATP + CoA + H+ + Hexahydrobenzoic acid <=> PPi + AMP + Cyclohexane-1-carboxyl-CoA	=>
rxn03895	chlorophyll chlorophyllidohydrolase	|3.1.1.14|	R05618	10000000	10000000	cpd00001_c0 + cpd03148_c0 <=> cpd00999_c0 + cpd01449_c0	H2O + Chlorophyll a <=> Phytol + Chlorophyllide	<=>
rxn03894	rxn03894	|2.5.1.-|	R05616	-16.91	0.638982	cpd00136_c0 + cpd00906_c0 <=> cpd00012_c0 + cpd09429_c0	4-Hydroxybenzoate + all-trans-Hexaprenyl diphosphate <=> PPi + 3-Hexaprenyl-4-hydroxybenzoate	=>
rxn03893	Hydroxybenzoate octaprenyltransferase	|2.5.1.-|	R05615	-16.91	0.638982	cpd00136_c0 + cpd02557_c0 <=> cpd00012_c0 + cpd03443_c0	4-Hydroxybenzoate + Farnesylfarnesylgeraniol <=> PPi + 3-Octaprenyl-4-hydroxybenzoate	=>
rxn03892	PPTT	|2.5.1.33|	R05613	-13	0.667887	cpd00113_c0 + cpd02591_c0 <=> cpd00012_c0 + cpd00906_c0	Isopentenyldiphosphate + pendp <=> PPi + all-trans-Hexaprenyl diphosphate	=>
rxn03891	trans-hexaprenyltranstransferase	|2.5.1.30|	R05612	-13	0.667887	cpd00113_c0 + cpd00906_c0 <=> cpd00012_c0 + cpd02590_c0	Isopentenyldiphosphate + all-trans-Hexaprenyl diphosphate <=> PPi + all-trans-Heptaprenyl diphosphate	=>
rxn03890	rxn03890	|2.5.1.11|		-5.45	2.69331	cpd00113_c0 + cpd02557_c0 <=> cpd00012_c0 + cpd02590_c0 + cpd08246_c0	Isopentenyldiphosphate + Farnesylfarnesylgeraniol <=> PPi + all-trans-Heptaprenyl diphosphate + (-)-beta-Phellandrene	=>
rxn03889	rxn03889		R05610	4.82	0.419	cpd03763_c0 <=> cpd06702_c0	Cyclohexa-1,5-dienecarbonyl-CoA <=> Cyclohex-1,4-diene-1-carboxyl-CoA	<=
rxn03887	D-galactarate hydro-lyase	4.2.1.42	R05608	-8.167	0.693353	cpd00652_c0 <=> cpd00001_c0 + cpd00515_c0	D-Mucic acid <=> H2O + 5-Dehydro-4-deoxy-D-glucarate	=>
rxn03888	rxn03888		R05609	4.79	0.746806	cpd03763_c0 <=> cpd06701_c0	Cyclohexa-1,5-dienecarbonyl-CoA <=> Cyclohex-2,5-diene-1-carboxyl-CoA	<=
rxn03886	D-sorbitol-6-phosphate:NAD 2-oxidoreductase	1.1.1.140	R07133	2.01	1.70129	cpd00003_c0 + cpd00804_c0 <=> cpd00004_c0 + cpd00067_c0 + cpd00072_c0	NAD + Sorbitol 6-phosphate <=> NADH + H+ + Neuberg ester	<=>
rxn03885	D-mannonate hydro-lyase	4.2.1.8	R05606	-8.167	0.693353	cpd00403_c0 <=> cpd00001_c0 + cpd00176_c0	D-Mannonate <=> H2O + 2-keto-3-deoxygluconate	=>
rxn03884	2-dehydro-3-deoxy-D-gluconate-6-phosphate	4.1.2.14	R05605	0.75	0.292867	cpd02711_c0 <=> cpd00020_c0 + cpd00102_c0	2-Keto-3-deoxy-6-phosphogluconate <=> Pyruvate + Glyceraldehyde3-phosphate	<=>
rxn03883	D-arabinitol:NAD 4-oxidoreductase	|1.1.1.11|	R05604	3.81	1.6395	cpd00003_c0 + cpd01307_c0 <=> cpd00004_c0 + cpd00067_c0 + cpd00259_c0	NAD + D-Lyxitol <=> NADH + H+ + D-Xylulose	<=>
rxn03881	rxn03881	|4.2.1.-|	R05602	6.257	0.852639	cpd00001_c0 + cpd04130_c0 <=> cpd06716_c0	H2O + 6-Hydroxycyclohex-1-enecarbonyl-CoA <=> 2,6-Dihydroxycyclohexane-1-carboxyl-CoA	<=
rxn03882	rxn03882	|6.4.1.-|	R05603	-2.217	0.989551	cpd00001_c0 + cpd00011_c0 + cpd01773_c0 <=> cpd00009_c0 + (2) cpd00067_c0 + cpd00136_c0	H2O + CO2 + Phenylphosphate <=> Phosphate + 2 H+ + 4-Hydroxybenzoate	<=>
rxn03880	dicarboxylate enoyl-coa hydratase (c7:0)	|4.2.1.-|	R05601	-2.163	0.767366	cpd00001_c0 + cpd04111_c0 <=> cpd04103_c0	H2O + 6-Carboxyhex-2-enoyl-CoA <=> 3-Hydroxypimelyl-CoA	<=>
rxn03878	rxn03878	|4.2.1.-|	R05599	3.217	0.898038	cpd00001_c0 + cpd06710_c0 <=> cpd06711_c0	H2O + E-Phenylitaconyl-CoA <=> (Hydroxymethylphenyl)succinyl-CoA	<=>
rxn03879	rxn03879	|4.2.1.-|	R05600	6.257	0.852639	cpd00001_c0 + cpd06703_c0 <=> cpd06704_c0	H2O + Cyclohex-1-ene-1-carboxyl-CoA <=> 2-Hydroxycyclohexane-1-carboxyl-CoA	<=
rxn03877	Benzylsuccinate fumarate-lyase	|4.1.99.11|	R05598	-14.21	1.13093	cpd00106_c0 + cpd01034_c0 <=> cpd06708_c0	Fumarate + Toluol <=> Benzylsuccinate	=>
rxn03876	Cyclohexa-1,5-dienecarbonyl-CoA hydro-lyase	|4.2.1.100|	R05597	11.107	0.944721	cpd00001_c0 + cpd03763_c0 <=> cpd04130_c0	H2O + Cyclohexa-1,5-dienecarbonyl-CoA <=> 6-Hydroxycyclohex-1-enecarbonyl-CoA	<=
rxn03875	benzamide hydro-lyase	|4.2.1.84|	R05596	4.977	4.97882	cpd00001_c0 + cpd06706_c0 <=> cpd06707_c0	H2O + Benzonitrile <=> Benzamide	<=
rxn03874	rxn03874	|4.2.1.17|	R05595	-2.163	0.767366	cpd00001_c0 + cpd00650_c0 <=> cpd03043_c0	H2O + Crotonyl-CoA <=> 3-Hydroxybutanoyl-CoA	<=>
rxn03873	rxn03873	|3.7.1.-|	R05594	-5.696	1.50219	(2) cpd00001_c0 + cpd06713_c0 <=> cpd00067_c0 + cpd04103_c0	2 H2O + 6-Ketoxycyclohex-1-ene-1-carboxyl-CoA <=> H+ + 3-Hydroxypimelyl-CoA	=>
rxn03872	rxn03872	|3.1.2.-|	R05593	-13.503	1.10907	cpd00001_c0 + cpd06717_c0 <=> cpd00067_c0 + cpd04103_c0	H2O + 6-Oxo-2-hydroxycyclohexane-1-carboxyl-CoA <=> H+ + 3-Hydroxypimelyl-CoA	=>
rxn03871	rxn03871	|3.1.2.-|	R05592	-15.303	1.25024	cpd00001_c0 + cpd06705_c0 <=> cpd00067_c0 + cpd00782_c0	H2O + 2-Oxocyclohexane-1-carbonyl-CoA <=> H+ + Pimeloyl-CoA	=>
rxn03870	Nitrile aminohydrolase	|3.5.5.1|	R05591	0.254	5.05351	(2) cpd00001_c0 + cpd06706_c0 <=> cpd00013_c0 + cpd00153_c0	2 H2O + Benzonitrile <=> NH3 + Benzoate	=>
rxn03869	Acylamide aminohydrolase	|3.5.1.4|	R05590	-4.723	0.88056	cpd00001_c0 + cpd06707_c0 <=> cpd00013_c0 + cpd00153_c0	H2O + Benzamide <=> NH3 + Benzoate	=>
rxn03868	rxn03868	|2.8.3.15|	R05588	0	2	cpd00078_c0 + cpd06708_c0 <=> cpd00036_c0 + cpd06709_c0	Succinyl-CoA + Benzylsuccinate <=> Succinate + Benzylsuccinyl-CoA	<=>
rxn03867	rxn03867	|2.3.1.-|	R05587	-5.246	1.09265	cpd00010_c0 + cpd06712_c0 <=> cpd00078_c0 + cpd00401_c0	CoA + Benzoylsuccinyl-CoA <=> Succinyl-CoA + Benzoyl-CoA	<=>
rxn03866	dicarboxylate 3oxoacyl-coa thiolase (c7:0)	|2.3.1.-|	R05586	-7.056	1.08737	cpd00010_c0 + cpd04104_c0 <=> cpd00022_c0 + cpd00413_c0	CoA + 3-Oxopimeloyl-CoA <=> Acetyl-CoA + Glutaryl-CoA	<=>
rxn03865	rxn03865	|1.4.-.-|	R05585	5.56	0.691154	(3) cpd00067_c0 + cpd01518_c0 <=> cpd00013_c0 + cpd00401_c0	3 H+ + Anthranilyl-CoA <=> NH3 + Benzoyl-CoA	<=
rxn03864	rxn03864	|1.1.1.-|	R05582	2.3	1.11438	cpd00003_c0 + cpd06704_c0 <=> cpd00004_c0 + cpd00067_c0 + cpd06705_c0	NAD + 2-Hydroxycyclohexane-1-carboxyl-CoA <=> NADH + H+ + 2-Oxocyclohexane-1-carbonyl-CoA	<=>
rxn03863	rxn03863	|1.1.1.-|	R05581	0.75	1.13993	cpd00003_c0 + cpd04130_c0 <=> cpd00004_c0 + cpd00067_c0 + cpd06713_c0	NAD + 6-Hydroxycyclohex-1-enecarbonyl-CoA <=> NADH + H+ + 6-Ketoxycyclohex-1-ene-1-carboxyl-CoA	<=>
